Metric,Vol_Days,BLS_Call,BLS_Put,MLP_Call_Adam,MLP_Put_Adam,MLP_Call_SGD,MLP_Put_SGD
MAE,3,0.7739543679565183,0.7985816108284111,0.0071,0.0085,0.0436,0.059
MAE,9,0.7454086019882795,0.775844895777649,0.0089,0.0102,0.0336,0.029
MAE,14,0.7208123296049008,0.7547697723396335,0.0057,0.0139,0.0335,0.0322
MAE,21,0.6856211379873964,0.7233888578958102,0.0102,0.0076,0.0309,0.0285
MAE,30,0.644773357099559,0.6861385424265644,0.0108,0.0084,0.0449,0.0317
MAE,60,0.5212479610463769,0.5706747285222565,0.0143,0.0106,0.035,0.0458
MAE,90,0.41340026385169365,0.4647417337261585,0.0405,0.0068,0.0815,0.062
MSE,3,0.7861046646993458,0.8247050877405568,0.0001,0.0002,0.0043,0.0078
MSE,9,0.7168919616461925,0.7652110620264048,0.0002,0.0002,0.0022,0.0016
MSE,14,0.6647756337080586,0.7169647252068744,0.0001,0.0003,0.0023,0.002
MSE,21,0.5994664692029478,0.6537582561876243,0.0002,0.0002,0.0018,0.0016
MSE,30,0.5283574264004656,0.5834297435927951,0.0002,0.0001,0.0038,0.0019
MSE,60,0.3616535377810764,0.41391309811285,0.0004,0.0003,0.0022,0.004
MSE,90,0.2610208866971207,0.3036645057321475,0.0035,0.0001,0.0138,0.0082
MAPE,3,71.64241472982349,77.646563204842,0.7289,0.7567,4.5944,6.2056
MAPE,9,69.4306855675496,75.89705220368808,0.8082,0.8522,3.5556,3.337
MAPE,14,67.44207772026608,74.19522850593619,0.4721,1.3452,3.8311,3.6968
MAPE,21,64.39855489388468,71.47089217799056,0.898,0.6326,3.4688,3.3283
MAPE,30,60.840724540069495,68.20698503908031,0.945,0.8113,5.0721,3.6237
MAPE,60,49.23067645227815,57.22940366392828,1.2324,1.0357,4.0454,5.2767
MAPE,90,38.317468424345755,46.3384525885617,4.4242,0.6001,8.3298,6.852
MAE_MOP_pct,3,58.26073826064991,63.8910346802889,0.4911,0.7281,3.0158,5.054
MAE_MOP_pct,9,56.111906923323886,62.07196918951564,0.6156,0.8737,2.3241,2.4842
MAE_MOP_pct,14,54.260380467960324,60.385840402912585,0.3943,1.1907,2.3172,2.7583
MAE_MOP_pct,21,51.61130335334806,57.87519018777723,0.7055,0.651,2.1373,2.4414
MAE_MOP_pct,30,48.53641681046551,54.89495477385575,0.747,0.7196,3.1057,2.7155
MAE_MOP_pct,60,39.23783143391541,45.6571981833604,0.9891,0.908,2.4209,3.9233
MAE_MOP_pct,90,31.119411642754965,37.181960896987896,2.8013,0.5825,5.6373,5.311
