,Call Train,Put Train,Call Test,Put Test,Mean
"(3600, no v - Adam)",0.1148,0.0844,0.1269,0.1529,0.1197
"(3600, with 3d v - Adam)",0.0001,0.0002,0.0971,0.1160,0.0534
"(3600, with 9d v - Adam)",0.0002,0.0002,0.1185,0.1162,0.0588
"(3600, with 14d v - Adam)",0.0001,0.0003,0.0898,0.1075,0.0494
"(3600, with 21d v - Adam)",0.0002,0.0002,0.1045,0.1096,0.0536
"(3600, with 30d v - Adam)",0.0002,0.0001,0.0944,0.1081,0.0507
"(3600, with 60d v - Adam)",0.0004,0.0003,0.1116,0.1104,0.0557
"(3600, with 90d v - Adam)",0.0035,0.0001,0.0937,0.1187,0.0540
"(3600, no v - SGD)",0.1248,0.0989,0.1434,0.1396,0.1267
"(3600, with 3d v - SGD)",0.0043,0.0078,0.1060,0.1171,0.0588
"(3600, with 9d v - SGD)",0.0022,0.0016,0.1233,0.1177,0.0612
"(3600, with 14d v - SGD)",0.0023,0.0020,0.1075,0.0950,0.0517
"(3600, with 21d v - SGD)",0.0018,0.0016,0.0951,0.0968,0.0488
"(3600, with 30d v - SGD)",0.0038,0.0019,0.1140,0.1174,0.0593
"(3600, with 60d v - SGD)",0.0022,0.0040,0.1219,0.1126,0.0602
"(3600, with 90d v - SGD)",0.0138,0.0082,0.1143,0.1064,0.0607
