,ANN Call Train,ANN Put Train,ANN Call Test,ANN Put Test,Mean
"(240n, no v)",24.9423,20.7421,25.4796,25.7094,24.2183
"(800n, no v)",12.9898,11.2421,20.3083,25.0397,17.3950
"(1500n, no v)",12.7870,20.7408,22.6781,24.5559,20.1905
"(3600n, no v)",14.7444,17.4129,21.3260,24.8680,19.5878
"(6400n, no v)",11.1996,17.8363,22.0157,30.8672,20.4797
"(7800n, no v)",10.4350,15.4878,24.3097,23.3608,18.3983
"(9550n, no v)",7.8879,16.3518,22.2127,23.2747,17.4318
"(11300n, no v)",10.7846,10.6714,24.2485,23.2164,17.2302
"(13400n, no v)",8.7069,19.7840,21.9090,20.4492,17.7123
"(240n, with 21d v)",5.8943,6.6784,24.5563,23.7953,15.2311
"(800n, with 21d v)",1.2047,0.8551,18.0497,19.2940,9.8509
"(1500n, with 21d v)",6.2046,0.6185,18.2374,19.6447,11.1763
"(3600n, with 21d v)",0.7024,0.6512,17.9249,19.3993,9.6695
"(6400n, with 21d v)",0.6734,7.0239,17.5557,19.6453,11.2246
"(7800n, with 21d v)",0.6415,1.4631,17.8445,19.1661,9.7788
"(9550n, with 21d v)",0.9251,0.7871,17.5740,19.1140,9.6000
"(11300n, with 21d v)",1.4621,2.3721,17.5516,19.1306,10.1291
"(13400n, with 21d v)",0.8130,6.3613,17.2372,18.7451,10.7892
